# ID  name  B  Berr  V  Verr  R  Rerr  I  Ierr  psfMag_u  psfMagErr_u  psfMag_g  psfMagErr_g  psfMag_r  psfMagErr_r  psfMag_i  psfMagErr_i  psfMag_z  psfMagErr_z  good_u  good_g  good_r  good_i  good_z
1-752-40-3-609-269  L107-S134  18.682  0  17.967  0  17.533  0  17.102  0  19.591  0.029  18.279  0.017  17.718  0.013  17.515  0.019  17.412  0.022  1  1  1  1  1
1-752-40-3-609-278  L107-600  15.388  0  14.867  0  14.535  0  14.196  0  16.242  0.016  15.086  0.016  14.681  0.013  14.616  0.018  14.571  0.019  1  1  1  1  1
1-752-40-3-609-279  L107-S35  16.824  0  15.941  0  15.426  0  14.983  0  18.263  0.019  16.377  0.016  15.618  0.013  15.436  0.018  15.305  0.019  1  1  1  1  1
1-752-40-3-609-282  L107-599  15.394  0  14.678  0  14.24  0  13.815  0  16.461  0.016  15.018  0.016  14.427  0.013  14.276  0.018  14.161  0.019  1  1  1  1  1
1-752-40-3-609-285  L107-S137  18.437  0  17.868  0  0  0  17.087  0  19.12  0.024  18.108  0.017  17.653  0.013  17.527  0.019  17.416  0.022  1  1  1  1  1
1-752-40-3-609-311  L107-S138  18.676  0  17.851  0  0  0  16.869  0  19.772  0.032  18.231  0.017  17.554  0.013  17.291  0.019  17.153  0.021  1  1  1  1  1
1-752-40-3-609-313  L107-S141  18.58  0  17.924  0  0  0  17.095  0  19.377  0.027  18.208  0.017  17.706  0.013  17.505  0.019  17.429  0.023  1  1  1  1  1
1-752-40-3-609-315  L107-S38  17.439  0  16.105  0  15.25  0  14.524  0  19.563  0.029  16.859  0.016  15.533  0.013  15.059  0.018  14.758  0.019  1  1  1  1  1
1-752-40-3-609-319  L107-S339  0  0  18.864  0  17.857  0  16.977  0  22.169  0.186  19.757  0.024  18.202  0.014  17.795  0.026  17.11  0.022  1  0  1  1  1
1-752-40-3-609-347  L107-S70  19.358  0  18.601  0  0  0  17.713  0  20.291  0.045  18.913  0.018  18.363  0.014  18.253  0.02  18.041  0.026  1  1  1  0  1
1-752-40-3-609-358  L107-S78  19.424  0  0  0  18.082  0  17.624  0  20.461  0.05  18.985  0.018  18.332  0.014  18.058  0.019  17.884  0.025  1  1  1  1  1
1-752-40-3-609-365  L107-S85  0  0  18.479  0  17.379  0  16.027  0  21.947  0.156  19.359  0.019  17.814  0.013  16.675  0.018  16.04  0.019  1  1  1  1  1
1-752-40-3-609-386  L107-S91  19.602  0  18.567  0  17.824  0  17.27  0  21.062  0.077  19.069  0.019  18.156  0.014  17.756  0.019  17.489  0.023  1  1  1  1  1
1-752-40-3-609-421  L107-S106  18.916  0  17.765  0  0  0  16.455  0  20.711  0.058  18.345  0.017  17.289  0.013  16.941  0.018  16.701  0.02  1  1  1  1  1
1-752-40-3-609-438  L107-S32  19.032  0  17.656  0  16.793  0  16.072  0  21.129  0.079  18.411  0.017  17.079  0.013  16.627  0.019  16.268  0.02  1  1  1  0  1
1-752-40-3-609-451  L107-S335  0  0  19.142  0  0  0  17.546  0  22.403  0.226  19.912  0.021  18.582  0.014  18.107  0.019  17.73  0.024  1  1  1  1  1
1-752-40-3-609-453  L107-S135  18.738  0  17.519  0  0  0  16.046  0  20.751  0.058  18.174  0.017  16.981  0.013  16.526  0.018  16.251  0.02  1  1  1  1  1
1-752-40-3-609-455  L107-S336  19.649  0  18.785  0  18.228  0  17.75  0  20.79  0.062  19.216  0.018  18.434  0.014  18.222  0.019  18.074  0.027  1  1  1  1  1
1-752-40-3-609-458  L107-S337  0  0  18.757  0  0  0  16.842  0  21.811  0.138  19.594  0.02  18.152  0.014  17.439  0.019  16.974  0.021  1  1  1  1  1
1-752-40-3-609-459  L107-S338  0  0  19.01  0  0  0  17.387  0  22.217  0.193  19.724  0.02  18.432  0.014  17.926  0.019  17.563  0.023  1  1  1  1  1
1-752-40-3-609-461  L107-S139  0  0  18.498  0  17.487  0  16.656  0  21.779  0.134  19.346  0.019  17.845  0.013  17.218  0.019  16.796  0.02  1  1  1  1  1
1-752-40-3-610-16  L107-S142  19.078  0  18.483  0  0  0  17.689  0  19.725  0.033  18.73  0.014  18.295  0.016  18.136  0.013  18.023  0.027  1  1  1  1  1
1-752-40-3-610-17  L107-S340  19.772  0  19.208  0  18.811  0  0  0  20.438  0.049  19.411  0.016  19.028  0.017  18.906  0.016  18.789  0.039  1  1  1  1  1
1-752-40-3-610-19  L107-S148  18.656  0  17.986  0  0  0  17.164  0  19.447  0.029  18.256  0.014  17.771  0.015  17.585  0.012  17.516  0.023  1  1  1  1  1
1-752-40-3-610-22  L107-S40  17.808  0  16.886  0  16.312  0  15.792  0  19.163  0.026  17.341  0.013  16.544  0.015  16.255  0.012  16.092  0.02  1  1  1  1  1
1-752-40-3-610-27  L107-S41  18.705  0  17.71  0  17.096  0  16.523  0  20.402  0.048  18.212  0.014  17.345  0.015  16.993  0.012  16.79  0.021  1  1  1  1  1
1-752-40-3-610-50  L107-S152  18.632  0  18.128  0  17.776  0  17.392  0  19.297  0.027  18.342  0.014  17.967  0.015  17.818  0.013  17.745  0.025  1  1  1  1  1
1-752-40-3-610-52  L107-S151  18.545  0  17.785  0  17.321  0  16.874  0  19.545  0.03  18.141  0.014  17.534  0.015  17.312  0.012  17.19  0.022  1  1  1  1  1
1-752-40-3-610-55  L107-S42  18.043  0  16.938  0  16.243  0  15.613  0  19.871  0.035  17.526  0.013  16.507  0.015  16.104  0.012  15.861  0.02  1  1  1  1  1
1-752-40-3-610-72  L107-S43  18.084  0  17.455  0  17.042  0  16.644  0  18.946  0.025  17.718  0.013  17.268  0.015  17.072  0.012  16.986  0.022  1  1  1  1  1
